-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST,,,,,,,,,,,,,,
Location: Latitude  -32.6077   Longitude 25.3699 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1033.31 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2013,30.44,48.93,66.05,33.5,15.45,7.42,8.47,16.75,3.85,90.16,98.14,91.04,510.2
PRECTOTCORR_SUM,2014,87.73,125.19,53.09,91.66,14.04,1.85,1.53,15.71,39.09,26.82,96.72,74.49,627.92
PRECTOTCORR_SUM,2015,66.57,33.83,47.22,54.83,5.07,39.47,66.13,28.03,49.66,18.57,42.24,6.07,457.69
PRECTOTCORR_SUM,2016,46.22,61.61,80.48,20.74,30.79,9.07,39.21,15.89,22.73,8.78,22.05,33.33,390.9
PRECTOTCORR_SUM,2017,96.07,78.25,27.25,7.77,25.34,4.29,4.4,32.62,14.31,83.85,43.46,40.52,458.13
PRECTOTCORR_SUM,2018,70.6,76.59,51,38.53,24.14,4.49,11.03,13.13,47.76,32.43,21.87,6.16,397.73
PRECTOTCORR_SUM,2019,34.11,40.73,50.97,32.71,31.19,2.02,8.37,0.7,16.12,15.83,5.64,24.56,262.95
PRECTOTCORR_SUM,2020,103.7,137.77,69,73.83,6.99,0.88,4.11,10.98,28.04,55.08,43.44,68.33,602.15
PRECTOTCORR_SUM,2021,96.54,45.65,34.5,30.48,33.49,8.57,9.74,24.56,19.21,38.24,83.02,107.71,531.71
PRECTOTCORR_SUM,2022,60.02,80.33,79.28,60.66,78.92,24.61,18.98,28.55,73.71,25.51,46.22,92.73,669.52
PRECTOTCORR_SUM,2023,107.07,103.8,63.79,11.36,115.26,27.93,36.59,3.06,61.83,86.46,14.92,50.43,682.5
PRECTOTCORR_SUM,2024,47.27,11.49,48.73,87.21,19.38,92.05,8.2,24.06,23.05,65.42,55.38,15.22,497.46
QV2M,2000,10,11.71,11.47,8.24,5.98,4.78,4.09,5.16,5.26,7.11,8.67,8.86,7.6
QV2M,2001,8.84,9.27,9.1,8.61,5.86,4.9,4.45,4.8,6.06,7.87,9.78,10.26,7.47
QV2M,2002,9.95,9,9.42,7.25,5.15,4.45,4.59,5.76,7.15,6.77,6.57,9.88,7.16
QV2M,2003,9.52,10.55,8.74,7.99,6.08,4.41,3.84,3.94,5.48,6.62,8.14,8.07,6.92
QV2M,2004,10.91,10.68,9.35,8.21,6.37,4.77,4.18,5.17,5.29,7.26,9.02,10.07,7.6
QV2M,2005,11.07,11.01,9.48,7.82,6.32,4.82,4.6,4.54,5.72,6.26,8.36,7.52,7.27
QV2M,2006,10.98,11.91,8.07,7.66,5.58,5.13,4.53,5.62,6.36,8.8,8.73,9.02,7.67
QV2M,2007,9.79,9.39,9.02,7.35,4.86,4.27,3.76,4.14,5.64,7.03,7.08,9.61,6.82
QV2M,2008,10.73,10.69,9.6,7.02,6.37,5.4,4.27,4.78,4.09,6.82,8.36,9.16,7.27
QV2M,2009,9.37,10.83,9.21,7.44,5.87,5.29,4.16,4.7,4.9,7.01,7.09,8.28,6.99
QV2M,2010,10.39,10.14,9.41,7.34,5.94,4.56,4.56,3.93,5.44,6.47,8.2,9.53,7.14
QV2M,2011,10.78,11.93,10.22,7.63,6.64,5.59,4.97,5.15,5.8,6.38,6.84,8.89,7.54
QV2M,2012,10.07,10.19,9.31,6.79,5.67,5.05,4.62,5.06,5.41,6.97,7.58,10.68,7.28
QV2M,2013,9.58,8.87,8.43,6.02,5.24,4.05,4.82,3.68,4.1,6.24,7.81,9.71,6.54
QV2M,2014,10.84,11.74,8.95,6.87,6.18,4.1,4.21,5.33,5.69,7.03,8.05,9.36,7.34
QV2M,2015,9.83,8.9,9.03,7.25,5.61,4.73,5.01,5.83,6.65,7.49,6.66,8.9,7.15
QV2M,2016,10.21,9.33,8.62,6.84,5.97,4.75,4.64,4.66,5.84,6.18,7.52,7.97,6.87
QV2M,2017,9.13,10.43,8.1,6.88,6.04,4.27,3.82,4.32,5.48,6.26,6.88,8.02,6.61
QV2M,2018,9.3,9.8,8.91,7.75,5.56,4.38,4.37,4.43,5.05,6.07,6.44,8.27,6.68
QV2M,2019,8.27,9.86,9.38,7.06,5.92,4.34,3.9,3.72,4.81,5.5,6.53,7.41,6.37
QV2M,2020,10.47,10.74,9.64,7.76,5.5,4.25,3.55,3.92,5.15,6.72,7.64,9.26,7.04
QV2M,2021,10.15,10.03,8.76,7.05,5.47,4.89,3.41,4.31,5.33,5.91,7.37,9.48,6.83
QV2M,2022,11.05,10.83,9.86,7.38,6.06,5.04,5.36,5.07,6.42,8.4,8.3,9.39,7.75
QV2M,2023,10.83,10.67,9.12,6.29,5.83,5.33,4.8,4.9,5.08,7.36,7.76,8.88,7.22
QV2M,2024,10.02,8.08,8.61,8.24,6.16,5.74,4.34,4.03,5.73,6.49,8.35,8.66,7.03
RH2M,2000,68.89,72.75,79.57,74.74,70.42,57.04,53.56,55.15,57.38,61.35,69.85,61.32,65.13
RH2M,2001,60.23,58.73,60.06,73.66,58.16,58.83,60.86,57.85,63.08,61.16,73.47,72.54,63.21
RH2M,2002,65.56,60.72,61.68,58.35,58.03,64.53,64.47,68.32,71.82,58.25,55.94,62.22,62.5
RH2M,2003,59.41,59.27,61.87,60.74,64.29,58.57,52.74,53.94,57.58,55.18,59.22,57.76,58.37
RH2M,2004,66.65,63.82,69.34,69.11,60.26,59.16,59.92,56.36,58.78,60.32,58.76,62.26,62.06
RH2M,2005,70.46,67.75,68.23,68.26,66.02,63.31,55.19,55.21,54.45,52.97,64.32,58.16,61.97
RH2M,2006,66.2,70.92,62.88,66.9,72.04,68.81,58.95,72.07,63.81,73.14,64.62,60.76,66.73
RH2M,2007,57.09,56.25,66.86,58.54,52.08,56.3,51.56,51.12,52.88,60.13,57.2,62.77,56.91
RH2M,2008,66.34,65.3,68.57,64.7,61.3,66.35,54.16,56.17,46.46,58.82,60.47,57.77,60.52
RH2M,2009,57.73,67.02,63.41,59.07,59.88,66.35,56,54.04,51.57,58.11,53.12,58.23,58.66
RH2M,2010,61.9,58.45,58.38,61.87,56.57,60.86,55.86,45.27,50.6,57.79,59.63,63.64,57.55
RH2M,2011,64.6,66.99,65.89,70.42,73.97,76.88,75.02,65.85,60.59,57.3,59.19,60.39,66.42
RH2M,2012,57.91,65.79,65.09,64.37,61.17,67.57,68.7,65.28,59.76,67.84,59.54,65.72,64.07
RH2M,2013,61.44,57.26,59.68,57.89,55.38,54.42,61.57,47.39,47.77,55.36,61.27,65.74,57.12
RH2M,2014,62.3,69.41,64.57,62.44,63.43,55.73,55.72,59.62,52.73,60.83,62.68,63.34,61.03
RH2M,2015,58.49,61.21,60.44,66.26,55.2,61.98,67.64,61.44,66.53,57.87,56.7,53.54,60.58
RH2M,2016,57.53,57.37,60.4,54.39,60.05,57.72,62.83,52.18,60.05,55.05,57.03,49.33,56.99
RH2M,2017,57.1,61.81,54.41,57.43,58.4,51.47,51.68,56.72,52.68,58.86,55.79,56.57,56.05
RH2M,2018,55.43,60.09,65.67,62.45,57.49,55.14,53.66,61.23,57.56,50.03,49.8,51.05,56.61
RH2M,2019,51.67,58.25,60.97,59.4,52.9,51.6,47.06,45.47,45.12,48,48.44,49.59,51.49
RH2M,2020,61.71,64.15,64.72,68.27,57.3,52.36,45.53,53.6,52.43,57.08,58.24,59.88,57.91
RH2M,2021,59.32,63.54,59.7,55.19,55.47,57.39,49.69,54.55,54.18,51.87,60.96,65.41,57.22
RH2M,2022,62.06,62.86,64.84,70.87,66.56,64.47,67.16,63.84,60.25,62.28,60.32,59.99,63.8
RH2M,2023,60.26,66.89,61.76,55.08,65.93,70.99,65.87,56.1,55.36,65.71,54.01,59.78,61.46
RH2M,2024,57.42,50.05,52.42,67.36,53.1,69.27,62.78,49.99,62,56.99,63.14,53.79,58.16
T2M_MAX,2000,34.37,34.43,31.04,28.15,23.62,23.8,23.14,27.94,29.7,34.45,35.22,36.94,36.94
T2M_MAX,2001,41.44,36.97,35.89,28.54,26.79,24.02,23.29,25.76,32.65,33.98,34.19,33.29,41.44
T2M_MAX,2002,37.97,35.98,34.53,33.71,27.82,22.4,21.5,25.88,28.2,35.41,36.31,36.29,37.97
T2M_MAX,2003,37.7,37.95,38.71,32.47,26.86,22.59,24.93,28.97,32.37,35.22,36.56,38.27,38.71
T2M_MAX,2004,36.57,38.61,33.14,29.27,26.87,23.57,22.89,27.81,31.79,34.92,37.98,39.91,39.91
T2M_MAX,2005,36.39,37.75,34.15,30.17,27.14,22.71,27.28,27.88,32.9,35.16,37.44,35.76,37.75
T2M_MAX,2006,38.28,33.96,32.22,31.04,23.65,23.23,24.33,24.37,33.15,33.36,35.94,37.1,38.28
T2M_MAX,2007,39.31,40.42,33.74,32.26,30,21.96,26.22,28.13,35.67,34.03,34.99,36.82,40.42
T2M_MAX,2008,35.76,35.52,37.83,30.6,26.05,23.77,24.48,27.86,31.17,35.69,37.82,37.2,37.83
T2M_MAX,2009,38.87,36,33.09,31.94,25.5,23.08,22.14,28.38,31.39,33.5,36.83,40.06,40.06
T2M_MAX,2010,39.29,39.21,37.01,34.59,25.75,25.37,24.25,31.68,33.51,35.38,37.14,35.32,39.29
T2M_MAX,2011,37.53,32.38,35.49,28.4,26.04,20.02,20.49,28.52,32.25,33.98,36.4,39.04,39.04
T2M_MAX,2012,39.56,37.25,35.95,27.78,28.39,22.89,22.75,27.68,31.96,32.4,37.02,35.25,39.56
T2M_MAX,2013,37.31,38.73,38.01,30.72,28.35,24.49,24.03,29.57,33.38,35.15,35.88,35.28,38.73
T2M_MAX,2014,38.48,36.84,33.33,30.41,29.19,24.56,25.36,27.26,33.56,35.99,35.21,34.44,38.48
T2M_MAX,2015,39.88,39.45,36.59,32.19,27.75,24.39,23.1,29.16,33.04,36.73,35.65,40.44,40.44
T2M_MAX,2016,41.9,40.03,38.52,32.59,26.35,24.01,23.08,30.79,32.73,35.03,36.57,41.27,41.9
T2M_MAX,2017,38.79,37.03,35.87,34.7,28.46,26.24,24.66,26.79,34.78,34.68,36.58,36.37,38.79
T2M_MAX,2018,39.28,38.12,34,29.87,28.22,23.02,24.3,27.64,32.1,39.21,40.58,39.94,40.58
T2M_MAX,2019,38.71,39.04,38.77,31.89,29.89,24.31,26.93,28.97,36.21,39.16,40.06,40.92,40.92
T2M_MAX,2020,39.74,37.31,36.33,31.65,25.53,25.79,23.78,26.52,32.09,35.78,36.36,37.55,39.74
T2M_MAX,2021,39.65,36.67,36.8,33.74,26.78,25.6,24.96,26.35,35.31,35.94,35.68,36.4,39.65
T2M_MAX,2022,36.03,36.65,33.95,28.56,26.93,21.24,21.97,26.7,32,33.72,38.34,36.77,38.34
T2M_MAX,2023,38.99,35.25,33.49,31.53,27.43,21.27,23.72,28.37,32.91,34.49,37.11,41.45,41.45
T2M_MAX,2024,40.11,40.21,38.27,31.34,29.75,21.97,20.71,29.13,31.86,38.31,37.73,40.3,40.3
T2M_RANGE,2000,13.65,13.66,11.47,12.61,12.87,14.76,14.38,16.01,15.29,16.25,15.39,17.07,14.45
T2M_RANGE,2001,17.66,16.95,16.62,12.35,13.74,14.44,13.92,14.24,14.63,15.76,13.52,14.26,14.84
T2M_RANGE,2002,15.94,16.63,15.78,14.83,13.82,13.42,12.38,12.99,13.22,17.61,17.12,15.96,14.96
T2M_RANGE,2003,17.55,16.79,15.33,14.26,13.07,13.22,14.78,14.59,15.08,17.03,16.61,17.55,15.49
T2M_RANGE,2004,15.67,15.16,14.05,13.75,14.1,13.83,13.64,15.85,16.16,16.14,17.7,16.52,15.21
T2M_RANGE,2005,14.48,15.03,14,13.44,12.71,13.84,15.08,15.58,16.87,17.94,15.28,17.3,15.13
T2M_RANGE,2006,15.33,13.87,15.42,13.22,12.17,13.34,14.76,12.72,14.75,13.96,16.16,16.22,14.33
T2M_RANGE,2007,17.72,17.73,14.67,14.99,14.37,13.41,14.79,15.45,17.25,16.29,16.22,15.8,15.71
T2M_RANGE,2008,14.95,15.85,14.25,14.04,13.78,12.39,14.52,15.69,16.8,17.14,16.76,17.74,15.33
T2M_RANGE,2009,18.04,13.88,15.45,14.78,13.55,12.4,13.96,15.21,15.98,15.76,17.38,17.88,15.37
T2M_RANGE,2010,16.19,16.85,16.31,14.6,13.9,12.76,14.47,16.43,17.23,15.67,17.63,15.89,15.65
T2M_RANGE,2011,15.82,13.32,14.8,12.54,11.17,11.02,12.5,14.7,15.86,16.4,16.52,16.85,14.3
T2M_RANGE,2012,17.1,15.62,14.62,14.12,13.85,12.16,12.79,14.97,15.89,14.8,17.58,14.56,14.83
T2M_RANGE,2013,16.69,17.66,16.19,14.74,14.87,14.28,13.51,15.76,17.79,16.25,16.73,14.82,15.76
T2M_RANGE,2014,16.5,14.32,15.28,14.16,13.16,14.56,13.96,14.54,17.06,16.86,15.67,16.4,15.21
T2M_RANGE,2015,17.72,17.34,15.6,13.07,14.88,13.1,12.15,14.51,14.34,17.31,16.46,18.62,15.42
T2M_RANGE,2016,16.92,17.53,15.95,15.45,13.82,13.53,12.83,16.2,15.14,17.41,17.52,19.77,16
T2M_RANGE,2017,16.98,15.77,17.1,15.65,13.92,14.48,15.72,15.02,17.58,16.76,16.87,17.1,16.08
T2M_RANGE,2018,17.37,16.38,14.62,14.39,13.84,13.88,14.81,14.19,15.87,17.28,19.19,19.41,15.93
T2M_RANGE,2019,18.75,15.71,16.07,14.57,14.68,14.33,15.14,16.88,17.89,17.81,19.44,18.79,16.68
T2M_RANGE,2020,16.68,14.97,14.96,12.99,14.39,14.33,15.77,14.76,16.91,17.48,16.53,17.14,15.58
T2M_RANGE,2021,16.74,16.13,15.31,15.4,13.52,13.47,15.32,15.12,17.28,16.72,15.36,15.08,15.45
T2M_RANGE,2022,15.89,15.56,13.29,12.27,13.46,13.1,13.12,14.34,15.4,15.76,15.61,16.22,14.5
T2M_RANGE,2023,17.2,14.68,15.6,15.5,12.49,11.63,12.72,15.57,15.48,15.1,18.51,16.96,15.12
T2M_RANGE,2024,16.39,18.78,16.89,13.2,15.19,11.85,12.66,17.3,14.68,16.21,16.71,18.5,15.7
